Name,Amount (USD),Amount (TWD),Amount (INR),Amount (THB),Category,Date,Source,Currency Used
Choctaw Travel Plaza of Garvin,28.13,902.1,"2,378.71",938.71,Gas,2024-01-01,Chase Freedom Flex,USD
RAM Austin Property Management,902.49,28941.95,"76,315.60","30,116.54",Rent,2024-01-02,WF Checking,USD
iCloud+,0.99,31.75,83.72,33.04,Subscriptions,2024-01-03,Chase Freedom Flex,USD
Proton VPN,10.9,349.55,921.72,363.74,Subscriptions,2024-01-06,Discover It Cashback,USD
Spiral Diner,15.86,508.61,"1,341.14",529.26,Eating/Drinking Out,2024-01-07,Discover It Cashback,USD
Taco Bell,8.85,283.81,748.37,295.33,Eating/Drinking Out,2024-01-09,Discover It Cashback,USD
Buc-ee's,16.25,521.12,"1,374.12",542.27,Gas,2024-01-09,Discover It Cashback,USD
Electricity and Internet,101.56,3256.93,"8,588.03","3,389.11",Utilities,2024-01-10,UFCU Checking,USD
Kroger,2.19,70.23,185.19,73.08,Groceries,2024-01-10,Discover It Cashback,USD
Kroger,16.66,534.27,"1,408.79",555.95,Groceries,2024-01-10,Discover It Cashback,USD
Whataburger,9.71,311.39,821.09,324.03,Eating/Drinking Out,2024-01-11,Discover It Cashback,USD
FlixBus,12.99,416.58,"1,098.45",433.48,Travel,2024-01-11,Discover It Cashback,USD
Swadeshi Plaza,4.78,153.29,404.2,159.51,Groceries,2024-01-12,Discover It Cashback,USD
Swadeshi Plaza,1.62,51.95,136.99,54.06,Groceries,2024-01-12,Discover It Cashback,USD
Racetrac,21.34,684.35,"1,804.54",712.13,Gas,2024-01-12,Discover It Cashback,USD
Blaze Pizza,19.38,621.5,"1,638.80",646.72,Eating/Drinking Out,2024-01-12,Discover It Cashback,USD
Target,15.58,499.64,"1,317.46",519.91,Groceries,2024-01-13,Discover It Cashback,USD
Kroger,14.37,460.83,"1,215.14",479.53,Groceries,2024-01-13,Discover It Cashback,USD
Disney+,15.14,485.52,"1,280.26",505.23,Subscriptions,2024-01-13,Discover It Cashback,USD
Buc-ee's,17.69,567.3,"1,495.89",590.32,Gas,2024-01-14,Discover It Cashback,USD
Odessa College,201.75,6469.92,"17,060.21","6,732.50",Education,2024-01-16,Discover It Cashback,USD
Google One,3.19,102.3,269.75,106.45,Subscriptions,2024-01-16,Discover It Cashback,USD
Max,17.31,555.11,"1,463.75",577.64,Subscriptions,2024-01-17,Discover It Cashback,USD
In-N-Out,7.9,253.35,668.03,263.63,Eating/Drinking Out,2024-01-17,Chase Freedom Flex,USD
Autism Spectrum Disorder Foundation,30,962.07,"2,536.83","1,001.12",Miscellaneous,2024-01-17,Chase Freedom Flex,USD
CVS Pharmacy,3.04,97.49,257.07,101.45,Groceries,2024-01-17,Chase Freedom Flex,USD
Trader Joe's,52.91,1696.77,"4,474.13","1,765.63",Groceries,2024-01-17,Chase Freedom Flex,USD
Monthly Service Fee,12,384.83,"1,014.73",400.45,Fees,2024-01-17,Chase Checking,USD
Einstein Bros,6.4,205.24,541.19,213.57,Eating/Drinking Out,2024-01-18,Chase Freedom Flex,USD
Wheatsville Co-Op,10,320.69,845.61,333.71,Groceries,2024-01-18,Chase Freedom Flex,USD
Smooshine Salon,51.75,1659.57,"4,376.04","1,726.92",Miscellaneous,2024-01-20,Chase Freedom Flex,USD
Chili's,15.96,511.82,"1,349.60",532.59,Eating/Drinking Out,2024-01-20,Chase Freedom Flex,USD
Cidercade,12.99,416.58,"1,098.45",433.48,Entertainment,2024-01-21,Chase Freedom Flex,USD
Ultra Mobile,28.08,900.5,"2,374.48",937.04,Utilities,2024-01-22,Discover It Cashback,USD
Spotify,11.9,381.62,"1,006.28",397.11,Subscriptions,2024-01-22,Discover It Cashback,USD
Interest,1.86,59.65,157.28,62.07,Fees,2024-01-22,UFCU Platinum Cashback,USD
Insurance Debt Protection,0.27,8.66,22.83,9.01,Fees,2024-01-22,UFCU Platinum Cashback,USD
Target,5.66,181.51,478.62,188.88,Groceries,2024-01-25,Chase Freedom Flex,USD
